from,to,dist_d,n_call,n_floor,car_position_call,car_direction_call,car_queue_buttons,car_queue_floor,dist_d_deny1,n_call_deny1,n_floor_deny1,car_position_deny1,car_direction_deny1,car_queue_buttons_deny1,car_queue_floor_deny1,dist_d_deny2,n_call_deny2,n_floor_deny2,car_position_deny2,car_direction_deny2,car_queue_buttons_deny2,car_queue_floor_deny2,dist_d_deny3,n_call_deny3,n_floor_deny3,car_position_deny3,car_direction_deny3,car_queue_buttons_deny3,car_queue_floor_deny3,waiting_time,journey_time,total_time
13,0,22,5,5,13,5,1,6,18,2,2,1,4,1,1,29,6,6,12,4,1,5,22,5,5,5,4,1,4,11,85,96
5,0,25,5,4,6,1,1,5,23,7,4,2,2,1,6,2,5,1,7,1,1,4,25,5,4,0,2,1,4,9,46,55
13,0,21,5,5,14,5,1,7,18,2,2,1,1,1,1,29,6,6,12,4,1,5,21,5,5,4,4,1,4,11,85,96
13,0,21,5,5,14,2,1,7,18,1,1,1,1,1,0,28,6,6,11,4,1,5,21,5,5,4,1,1,4,11,85,96
13,0,21,4,4,14,2,1,7,18,1,1,1,4,1,0,28,7,7,11,1,1,6,21,4,4,4,4,1,3,9,85,94
2,0,30,2,2,0,2,1,2,11,7,6,13,4,1,6,8,5,4,10,4,1,4,30,2,2,2,4,1,1,149,143,292
2,0,30,2,2,0,2,1,2,11,7,6,13,4,1,6,8,5,4,10,4,1,4,30,2,2,2,4,1,1,149,144,293
2,0,30,2,2,0,2,1,2,11,7,6,13,4,1,6,8,5,4,10,4,1,4,30,2,2,2,4,1,1,89,144,233
2,0,30,2,2,0,2,1,2,11,7,6,13,4,1,6,8,5,4,10,4,1,4,30,2,2,2,4,1,1,87,144,231
2,0,30,2,2,0,2,1,2,11,7,6,13,4,1,6,8,5,4,10,4,1,4,30,2,2,2,4,1,1,85,144,229
2,0,30,2,2,0,2,1,2,11,7,6,13,4,1,6,8,5,4,10,4,1,4,30,2,2,2,4,1,1,85,144,229
2,0,30,2,2,0,2,1,2,11,7,6,13,4,1,6,8,5,4,10,4,1,4,30,2,2,2,4,1,1,26,144,170
